epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.5081,1.41539,3.99089,1.29825,0.01622,0.70913,0.24043,0.16519,0.87237,4.40647,1.05223,0.000351817,0.000351817,0.000351817
2,65.3939,1.06505,2.68156,1.13669,0.00957,0.6127,0.27349,0.17718,0.93703,4.22706,1.08183,0.000693553,0.000693553,0.000693553
3,99.7036,0.9498,2.33109,1.03282,0.86679,0.01538,0.37055,0.25554,0.96267,4.09723,1.05773,0.00100596,0.00100596,0.00100596
4,133.527,0.8613,2.26145,1.02648,0.80798,0.03077,0.33912,0.26955,0.96211,3.92983,1.22588,0.000979013,0.000979013,0.000979013
5,168.012,0.87723,2.0579,1.03967,0.93991,0.26378,0.6489,0.47971,0.93869,3.41499,1.13497,0.000935018,0.000935018,0.000935018
6,209.508,0.84938,2.06739,1.03064,0.88415,0.72886,0.86175,0.70133,0.67517,2.69793,1.00648,0.000891022,0.000891022,0.000891022
7,251.948,0.75107,2.11094,0.91916,0.76938,0.8044,0.89971,0.75455,0.60542,2.33461,0.96519,0.000847026,0.000847026,0.000847026
8,294.632,0.75194,1.73278,0.97981,0.66309,0.78056,0.85483,0.75437,0.59028,2.09295,0.94521,0.000803031,0.000803031,0.000803031
9,329.147,0.74429,1.73041,0.98333,0.72784,0.86156,0.91462,0.7934,0.60402,1.79199,0.94544,0.000759035,0.000759035,0.000759035
10,370.759,0.6855,1.61598,0.95381,0.90318,0.95402,0.97372,0.82899,0.62639,1.53082,0.97844,0.00071504,0.00071504,0.00071504
11,409.447,0.64657,1.46012,0.93474,0.88751,0.96392,0.97271,0.85548,0.57439,1.60589,0.94448,0.000671044,0.000671044,0.000671044
12,445.726,0.61112,1.49228,0.93001,0.84228,0.94896,0.97513,0.8786,0.51913,1.48679,0.9453,0.000627048,0.000627048,0.000627048
13,482.277,0.58301,1.42598,0.93325,0.80511,0.87875,0.91635,0.8415,0.48137,1.38573,0.94619,0.000583053,0.000583053,0.000583053
14,524.23,0.52682,1.23305,0.88914,0.83416,0.95211,0.96729,0.89332,0.47391,1.29473,0.94674,0.000539057,0.000539057,0.000539057
15,565.035,0.5195,1.27289,0.91087,0.77839,0.97043,0.96802,0.8985,0.44563,1.25259,0.9374,0.000495062,0.000495062,0.000495062
16,609.004,0.50711,1.58037,0.92004,0.86671,0.98119,0.9728,0.88916,0.45217,1.37405,0.96374,0.000451066,0.000451066,0.000451066
17,645.771,0.48086,1.71219,0.85503,0.94038,0.92548,0.98446,0.90264,0.45533,1.31536,0.96862,0.00040707,0.00040707,0.00040707
18,692.484,0.45568,1.38091,0.86851,0.91515,0.9579,0.96139,0.88941,0.44934,1.21886,0.93653,0.000363075,0.000363075,0.000363075
19,729.19,0.47911,1.31174,0.9151,0.88816,0.96233,0.94957,0.87733,0.40652,1.1794,0.92988,0.000319079,0.000319079,0.000319079
20,758.431,0.41117,1.48243,0.83745,0.91557,0.98326,0.97553,0.91573,0.37921,1.09764,0.91624,0.000275084,0.000275084,0.000275084
21,785.947,0.47279,1.28157,0.88611,0.9176,1,0.9852,0.93233,0.35528,1.07275,0.90456,0.000231088,0.000231088,0.000231088
22,813.928,0.44103,1.35376,0.87251,0.92612,0.97064,0.98428,0.93386,0.34869,1.04195,0.89635,0.000187092,0.000187092,0.000187092
23,843.869,0.42568,1.28465,0.86555,0.94361,0.96183,0.98967,0.93193,0.35235,1.02243,0.90181,0.000143097,0.000143097,0.000143097
24,875.356,0.40902,1.26612,0.86026,0.93601,0.99169,0.98967,0.93754,0.33407,1.03067,0.90616,9.91012e-05,9.91012e-05,9.91012e-05
25,911.722,0.35341,1.45318,0.82372,0.93566,0.99335,0.98967,0.95127,0.3217,1.02571,0.90722,5.51056e-05,5.51056e-05,5.51056e-05
