epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.1906,0.85133,3.71407,1.02369,0.01028,0.92974,0.13001,0.07374,0.71036,4.24096,0.96218,0.000226667,0.000226667,0.000226667
2,148.554,0.6108,2.54339,0.91999,0.01097,0.99565,0.29917,0.23644,0.5789,3.82692,0.89817,0.000433999,0.000433999,0.000433999
3,225.07,0.57094,2.3194,0.89747,0.98977,0.03518,0.33887,0.27665,0.59788,3.40101,0.90174,0.000609915,0.000609915,0.000609915
4,296.459,0.5096,2.11315,0.87784,0.41206,0.21247,0.394,0.33137,0.49227,2.70058,0.89207,0.000572628,0.000572628,0.000572628
5,369.95,0.48112,2.07779,0.87857,0.50302,0.37875,0.42179,0.36209,0.49991,2.64715,0.89788,0.000525504,0.000525504,0.000525504
6,440.52,0.45725,2.26238,0.88961,0.32588,0.40758,0.39026,0.34197,0.44608,2.56191,0.89665,0.00047838,0.00047838,0.00047838
7,510.311,0.42434,2.08701,0.86169,0.59092,0.50915,0.5555,0.51649,0.40962,1.9855,0.88117,0.000431256,0.000431256,0.000431256
8,580.516,0.41477,1.95423,0.86321,0.38247,0.69162,0.4812,0.42472,0.47279,2.15574,0.90662,0.000384132,0.000384132,0.000384132
9,649.351,0.40408,1.85131,0.86943,0.45102,0.72088,0.58449,0.54518,0.37121,1.85921,0.88409,0.000337008,0.000337008,0.000337008
10,719.079,0.36969,1.77263,0.85499,0.47605,0.70078,0.5752,0.53691,0.36132,1.70254,0.87466,0.000289884,0.000289884,0.000289884
11,788.142,0.34965,1.65339,0.83791,0.46848,0.7128,0.61638,0.58182,0.37889,1.57797,0.86684,0.00024276,0.00024276,0.00024276
12,869.428,0.33842,1.6584,0.84797,0.61354,0.694,0.62766,0.59273,0.32606,1.57457,0.86993,0.000195636,0.000195636,0.000195636
13,950.231,0.30722,1.63769,0.83766,0.46005,0.70196,0.59939,0.5743,0.29264,1.59694,0.86314,0.000148512,0.000148512,0.000148512
14,1020.45,0.28658,1.56733,0.82214,0.59859,0.69047,0.64056,0.61938,0.28468,1.44606,0.8611,0.000101388,0.000101388,0.000101388
15,1089.76,0.27134,1.54012,0.82658,0.507,0.71305,0.63365,0.60982,0.28538,1.52745,0.85817,5.4264e-05,5.4264e-05,5.4264e-05
